Id,ActivityDate,WeekDay,TotalSteps,TotalDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,TotalActiveMinutes,TotalMinutes,TotalActiveHours,Calories
1503960366,2016-04-12,Tuesday,13162,8.5,1.87999999523163,0.550000011920929,6.05999994277954,0.0,25,13,328,728,366,1094,6.0,1985
1503960366,2016-04-13,Wednesday,10735,6.96999979019165,1.57000005245209,0.689999997615814,4.71000003814697,0.0,21,19,217,776,257,1033,4.0,1797
1503960366,2016-04-14,Thursday,10460,6.73999977111816,2.44000005722046,0.400000005960464,3.91000008583069,0.0,30,11,181,1218,222,1440,4.0,1776
1503960366,2016-04-15,Friday,9762,6.28000020980835,2.14000010490417,1.25999999046326,2.82999992370605,0.0,29,34,209,726,272,998,5.0,1745
1503960366,2016-04-16,Saturday,12669,8.15999984741211,2.71000003814697,0.409999996423721,5.03999996185303,0.0,36,10,221,773,267,1040,4.0,1863
1503960366,2016-04-17,Sunday,9705,6.48000001907349,3.19000005722046,0.779999971389771,2.50999999046326,0.0,38,20,164,539,222,761,4.0,1728
1503960366,2016-04-18,Monday,13019,8.59000015258789,3.25,0.639999985694885,4.71000003814697,0.0,42,16,233,1149,291,1440,5.0,1921
1503960366,2016-04-19,Tuesday,15506,9.88000011444092,3.52999997138977,1.32000005245209,5.03000020980835,0.0,50,31,264,775,345,1120,6.0,2035
1503960366,2016-04-20,Wednesday,10544,6.67999982833862,1.96000003814697,0.479999989271164,4.23999977111816,0.0,28,12,205,818,245,1063,4.0,1786
1503960366,2016-04-21,Thursday,9819,6.34000015258789,1.3400000333786,0.349999994039536,4.65000009536743,0.0,19,8,211,838,238,1076,4.0,1775
1503960366,2016-04-22,Friday,12764,8.13000011444092,4.76000022888184,1.12000000476837,2.24000000953674,0.0,66,27,130,1217,223,1440,4.0,1827
1503960366,2016-04-23,Saturday,14371,9.03999996185303,2.80999994277954,0.870000004768372,5.3600001335144,0.0,41,21,262,732,324,1056,5.0,1949
1503960366,2016-04-24,Sunday,10039,6.40999984741211,2.92000007629395,0.209999993443489,3.27999997138977,0.0,39,5,238,709,282,991,5.0,1788
1503960366,2016-04-25,Monday,15355,9.80000019073486,5.28999996185303,0.569999992847443,3.94000005722046,0.0,73,14,216,814,303,1117,5.0,2013
1503960366,2016-04-26,Tuesday,13755,8.78999996185303,2.32999992370605,0.920000016689301,5.53999996185303,0.0,31,23,279,833,333,1166,6.0,1970
1503960366,2016-04-27,Wednesday,18134,12.210000038147,6.40000009536743,0.409999996423721,5.40999984741211,0.0,78,11,243,1108,332,1440,6.0,2159
1503960366,2016-04-28,Thursday,13154,8.52999973297119,3.53999996185303,1.1599999666214,3.78999996185303,0.0,48,28,189,782,265,1047,4.0,1898
1503960366,2016-04-29,Friday,11181,7.15000009536743,1.05999994277954,0.5,5.57999992370605,0.0,16,12,243,815,271,1086,5.0,1837
1503960366,2016-04-30,Saturday,14673,9.25,3.55999994277954,1.41999995708466,4.26999998092651,0.0,52,34,217,712,303,1015,5.0,1947
1503960366,2016-05-01,Sunday,10602,6.80999994277954,2.28999996185303,1.60000002384186,2.92000007629395,0.0,33,35,246,730,314,1044,5.0,1820
1503960366,2016-05-02,Monday,14727,9.71000003814697,3.21000003814697,0.569999992847443,5.92000007629395,0.0,41,15,277,798,333,1131,6.0,2004
1503960366,2016-05-03,Tuesday,15103,9.65999984741211,3.73000001907349,1.04999995231628,4.88000011444092,0.0,50,24,254,816,328,1144,5.0,1990
1503960366,2016-05-04,Wednesday,11100,7.15000009536743,2.46000003814697,0.870000004768372,3.8199999332428,0.0,36,22,203,1179,261,1440,4.0,1819
1503960366,2016-05-05,Thursday,14070,8.89999961853027,2.92000007629395,1.08000004291534,4.88000011444092,0.0,45,24,250,857,319,1176,5.0,1959
1503960366,2016-05-06,Friday,12159,8.02999973297119,1.97000002861023,0.25,5.80999994277954,0.0,24,6,289,754,319,1073,5.0,1896
1503960366,2016-05-07,Saturday,11992,7.71000003814697,2.46000003814697,2.11999988555908,3.13000011444092,0.0,37,46,175,833,258,1091,4.0,1821
1503960366,2016-05-08,Sunday,10060,6.57999992370605,3.52999997138977,0.319999992847443,2.73000001907349,0.0,44,8,203,574,255,829,4.0,1740
1503960366,2016-05-09,Monday,12022,7.71999979019165,3.45000004768372,0.529999971389771,3.74000000953674,0.0,46,11,206,835,263,1098,4.0,1819
1503960366,2016-05-10,Tuesday,12207,7.76999998092651,3.34999990463257,1.1599999666214,3.25999999046326,0.0,46,31,214,746,291,1037,5.0,1859
1503960366,2016-05-11,Wednesday,12770,8.13000011444092,2.55999994277954,1.00999999046326,4.55000019073486,0.0,36,23,251,669,310,979,5.0,1783
1503960366,2016-05-12,Thursday,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1440,0,1440,0.0,0
1624580081,2016-04-12,Tuesday,8163,5.30999994277954,0.0,0.0,5.30999994277954,0.0,0,0,146,1294,146,1440,2.0,1432
